OBJECTID,BikeAge,CrashDay,CrashHour,CrashLocation,Light,RoadCondition,RoadConfig,SpeedLimit,Weather
1257,18,Tuesday,13,Intersection,Daylight,Dry,"Two-Way, Not Divided",20 - 25  MPH,Clear
1258,54,Wednesday,17,Intersection,Daylight,Dry,"Two-Way, Not Divided",40 - 45  MPH,Clear
1259,6,Saturday,16,Intersection,Daylight,Dry,"Two-Way, Not Divided",20 - 25  MPH,Clear
1260,35,Sunday,10,Intersection,Daylight,Wet,"Two-Way, Divided, Positive Median Barrier",20 - 25  MPH,Clear
1261,24,Thursday,7,Non-Intersection,Daylight,Dry,"Two-Way, Not Divided",40 - 45  MPH,Clear
1262,14,Wednesday,19,Non-Roadway,Daylight,Dry,"Two-Way, Not Divided",Unknown,Clear
1263,64,Tuesday,16,Non-Roadway,Daylight,Dry,"Two-Way, Not Divided",5 - 15 MPH,Clear
1264,48,Saturday,15,Intersection,Daylight,Dry,"Two-Way, Divided, Unprotected Median",40 - 45  MPH,Clear
1265,18,Tuesday,16,Non-Intersection,Daylight,Wet,"Two-Way, Divided, Positive Median Barrier",40 - 45  MPH,Cloudy
1266,60,Wednesday,10,Non-Intersection,Daylight,Dry,"Two-Way, Not Divided",20 - 25  MPH,Cloudy
1267,49,Thursday,17,Intersection,Daylight,Dry,"Two-Way, Not Divided",Unknown,Clear
1268,30,Thursday,16,Non-Intersection,Daylight,Dry,"One-Way, Not Divided",5 - 15 MPH,Clear
1269,20,Thursday,13,Intersection,Daylight,Dry,"Two-Way, Not Divided",30 - 35  MPH,Clear
1270,25,Friday,15,Intersection,Daylight,Dry,"Two-Way, Not Divided",30 - 35  MPH,Clear
1271,10,Sunday,10,Non-Intersection,Daylight,Dry,"Two-Way, Not Divided",30 - 35  MPH,Clear
1272,17,Tuesday,19,Unknown Location,Daylight,Dry,"Two-Way, Divided, Unprotected Median",40 - 45  MPH,Clear
1273,34,Saturday,19,Non-Intersection,Daylight,Dry,"Two-Way, Not Divided",20 - 25  MPH,Clear
1274,12,Tuesday,17,Non-Intersection,Daylight,Dry,"Two-Way, Not Divided",30 - 35  MPH,Clear
1275,61,Thursday,11,Intersection,Daylight,Dry,"Two-Way, Not Divided",30 - 35  MPH,Clear
1276,63,Friday,17,Non-Intersection,Daylight,Dry,"Two-Way, Not Divided",Unknown,Clear
1277,12,Sunday,14,Intersection,Daylight,Wet,"Two-Way, Divided, Unprotected Median",30 - 35  MPH,Cloudy
1278,10,Sunday,14,Non-Intersection,Daylight,Dry,"Two-Way, Not Divided",20 - 25  MPH,Clear
1279,12,Sunday,16,Intersection,Daylight,Dry,"Two-Way, Not Divided",40 - 45  MPH,Cloudy
1280,29,Sunday,13,Intersection,Daylight,Wet,"Two-Way, Not Divided",30 - 35  MPH,Rain
1281,45,Sunday,22,Non-Intersection,Dark - Lighted Roadway,Dry,"Two-Way, Divided, Unprotected Median",Unknown,Clear
1282,36,Monday,15,Intersection,Daylight,Dry,"Two-Way, Divided, Unprotected Median",50 - 55  MPH,Clear
1283,13,Monday,18,Non-Intersection,Daylight,Dry,"Two-Way, Divided, Positive Median Barrier",30 - 35  MPH,Clear
1284,19,Tuesday,15,Intersection,Daylight,Dry,"Two-Way, Not Divided",30 - 35  MPH,Clear
1285,17,Friday,15,Non-Intersection,Daylight,Dry,"Two-Way, Not Divided",30 - 35  MPH,Clear
1286,31,Wednesday,15,Non-Intersection,Daylight,Dry,"Two-Way, Not Divided",20 - 25  MPH,Clear
1287,15,Thursday,20,Non-Intersection,Dusk,Dry,Unknown,5 - 15 MPH,Clear
1288,46,Wednesday,9,Non-Intersection,Daylight,Dry,"Two-Way, Divided, Unprotected Median",30 - 35  MPH,Clear
1289,18,Friday,13,Non-Intersection,Daylight,Dry,"Two-Way, Not Divided",Unknown,Cloudy
1290,24,Friday,22,Intersection,Dark - Lighted Roadway,Dry,"Two-Way, Divided, Unprotected Median",30 - 35  MPH,Clear
1291,14,Saturday,16,Intersection,Daylight,Dry,"Two-Way, Not Divided",30 - 35  MPH,Clear
1292,62,Saturday,13,Non-Intersection,Daylight,Dry,"Two-Way, Not Divided",50 - 55  MPH,Clear
1293,48,Sunday,12,Non-Intersection,Daylight,Dry,"Two-Way, Not Divided",40 - 45  MPH,Other
1294,17,Thursday,16,Intersection,Daylight,Dry,"Two-Way, Not Divided",40 - 45  MPH,Cloudy
1295,45,Thursday,7,Intersection,Daylight,Dry,"Two-Way, Not Divided",20 - 25  MPH,Clear
1296,12,Wednesday,21,Intersection,Dark - Lighted Roadway,Dry,"Two-Way, Not Divided",30 - 35  MPH,Clear
1297,32,Wednesday,18,Intersection,Daylight,Dry,"Two-Way, Not Divided",30 - 35  MPH,Clear
1298,11,Monday,18,Intersection,Daylight,Dry,"Two-Way, Not Divided",20 - 25  MPH,Clear
1299,27,Tuesday,20,Non-Intersection,Dusk,Dry,"Two-Way, Not Divided",5 - 15 MPH,Clear
1300,24,Tuesday,7,Non-Intersection,Daylight,Dry,"Two-Way, Not Divided",20 - 25  MPH,Clear
1301,19,Friday,16,Non-Roadway,Daylight,Dry,"Two-Way, Not Divided",5 - 15 MPH,Clear
1302,14,Tuesday,17,Non-Intersection,Daylight,Dry,"Two-Way, Divided, Unprotected Median",30 - 35  MPH,Clear
1303,7,Saturday,19,Intersection,Daylight,Dry,"Two-Way, Divided, Unprotected Median",30 - 35  MPH,Clear
1304,15,Saturday,14,Intersection,Daylight,Dry,"Two-Way, Divided, Unprotected Median",30 - 35  MPH,Clear
1305,14,Wednesday,15,Non-Intersection,Daylight,Dry,"Two-Way, Not Divided",40 - 45  MPH,Clear
1306,27,Wednesday,21,Non-Roadway,Dark - Roadway Not Lighted,Dry,"Two-Way, Not Divided",Unknown,Clear
1307,3,Wednesday,16,Non-Intersection,Daylight,Dry,"Two-Way, Not Divided",30 - 35  MPH,Clear
1308,16,Wednesday,16,Intersection,Daylight,Dry,"Two-Way, Divided, Positive Median Barrier",40 - 45  MPH,Clear
1309,23,Wednesday,12,Intersection,Daylight,Dry,"Two-Way, Not Divided",30 - 35  MPH,Clear
1310,33,Friday,1,Non-Intersection,Dark - Lighted Roadway,Dry,"Two-Way, Divided, Unprotected Median",40 - 45  MPH,Clear
1311,4,Thursday,15,Non-Roadway,Daylight,Dry,"Two-Way, Not Divided",Unknown,Clear
1312,51,Thursday,20,Intersection,Dark - Lighted Roadway,Dry,"Two-Way, Not Divided",30 - 35  MPH,Clear
1313,23,Friday,15,Non-Intersection,Daylight,Dry,"Two-Way, Divided, Unprotected Median",Unknown,Clear
1314,18,Saturday,18,Intersection,Daylight,Dry,"Two-Way, Not Divided",20 - 25  MPH,Clear
1315,51,Saturday,20,Intersection,Dark - Roadway Not Lighted,Dry,"Two-Way, Not Divided",30 - 35  MPH,Clear
1316,26,Saturday,12,Non-Intersection,Daylight,Dry,"Two-Way, Divided, Unprotected Median",40 - 45  MPH,Clear
1317,38,Monday,15,Intersection,Daylight,Dry,"Two-Way, Not Divided",20 - 25  MPH,Clear
1318,60,Saturday,3,Non-Intersection,Dark - Lighted Roadway,Dry,"Two-Way, Not Divided",40 - 45  MPH,Clear
1319,37,Tuesday,18,Intersection,Daylight,Dry,"Two-Way, Not Divided",20 - 25  MPH,Clear
1320,43,Tuesday,20,Non-Intersection,Dark - Roadway Not Lighted,Dry,"Two-Way, Not Divided",40 - 45  MPH,Clear
1321,46,Thursday,7,Intersection,Daylight,Dry,"Two-Way, Not Divided",30 - 35  MPH,Clear
1322,18,Thursday,19,Intersection,Daylight,Dry,Unknown,Unknown,Clear
1323,29,Wednesday,14,Intersection,Daylight,Dry,"Two-Way, Not Divided",40 - 45  MPH,Clear
1324,48,Wednesday,22,Non-Intersection,Dark - Lighted Roadway,Dry,Unknown,40 - 45  MPH,Clear
1325,44,Saturday,15,Non-Intersection,Daylight,Dry,"Two-Way, Divided, Unprotected Median",40 - 45  MPH,Clear
1326,42,Monday,11,Intersection,Daylight,Dry,"Two-Way, Not Divided",30 - 35  MPH,Clear
1327,1,Monday,16,Intersection,Daylight,Dry,"Two-Way, Not Divided",30 - 35  MPH,Cloudy
1328,23,Saturday,2,Intersection,Dark - Lighted Roadway,Dry,"Two-Way, Not Divided",30 - 35  MPH,Clear
1329,31,Tuesday,22,Intersection,Dark - Lighted Roadway,Dry,"Two-Way, Not Divided",30 - 35  MPH,Clear
1330,66,Tuesday,14,Intersection,Daylight,Dry,"One-Way, Not Divided",5 - 15 MPH,Clear
1331,16,Tuesday,16,Non-Intersection,Daylight,Dry,"Two-Way, Divided, Unprotected Median",Unknown,Clear
1332,69,Wednesday,17,Intersection,Daylight,Dry,"Two-Way, Not Divided",40 - 45  MPH,Cloudy
1333,13,Saturday,11,Non-Intersection,Daylight,Dry,"Two-Way, Not Divided",30 - 35  MPH,Clear
1334,49,Friday,12,Non-Intersection,Daylight,Dry,"Two-Way, Not Divided",30 - 35  MPH,Clear
1335,11,Thursday,14,Non-Intersection,Daylight,Dry,"Two-Way, Not Divided",20 - 25  MPH,Cloudy
1336,999,Thursday,23,Non-Intersection,Dark - Lighted Roadway,Dry,"Two-Way, Divided, Unprotected Median",Unknown,Cloudy
1337,14,Friday,16,Intersection,Daylight,Wet,"Two-Way, Not Divided",20 - 25  MPH,Cloudy
1338,7,Saturday,11,Non-Intersection,Daylight,Dry,"Two-Way, Not Divided",30 - 35  MPH,Clear
1339,13,Thursday,14,Non-Intersection,Daylight,Dry,"Two-Way, Not Divided",50 - 55  MPH,Clear
1340,39,Friday,7,Intersection,Daylight,Dry,"Two-Way, Divided, Unprotected Median",30 - 35  MPH,Clear
1341,51,Sunday,15,Non-Intersection,Daylight,Dry,"Two-Way, Divided, Unprotected Median",Unknown,Clear
1342,11,Monday,15,Intersection,Daylight,Dry,"Two-Way, Not Divided",30 - 35  MPH,Clear
1343,63,Monday,10,Non-Intersection,Daylight,Dry,"Two-Way, Not Divided",40 - 45  MPH,Clear
1344,32,Monday,19,Intersection,Daylight,Dry,"Two-Way, Divided, Unprotected Median",40 - 45  MPH,Clear
1345,999,Sunday,20,Non-Intersection,Dusk,Wet,Unknown,Unknown,Rain
1346,5,Monday,18,Intersection,Daylight,Dry,"Two-Way, Not Divided",20 - 25  MPH,Clear
1347,29,Wednesday,8,Non-Intersection,Daylight,Dry,"Two-Way, Not Divided",30 - 35  MPH,Clear
1348,43,Sunday,15,Intersection-Related,Daylight,Dry,"Two-Way, Not Divided",30 - 35  MPH,Cloudy
1349,15,Monday,14,Intersection,Daylight,Dry,"Two-Way, Not Divided",30 - 35  MPH,Clear
1350,57,Wednesday,5,Non-Intersection,Dawn,Dry,"Two-Way, Not Divided",50 - 55  MPH,Clear
1351,54,Wednesday,10,Intersection,Daylight,Dry,"Two-Way, Not Divided",40 - 45  MPH,Clear
1352,53,Wednesday,18,Intersection,Daylight,Dry,"Two-Way, Not Divided",30 - 35  MPH,Clear
1353,15,Wednesday,12,Intersection,Daylight,Dry,"Two-Way, Not Divided",30 - 35  MPH,Clear
1354,47,Wednesday,17,Non-Roadway,Daylight,Dry,"Two-Way, Not Divided",30 - 35  MPH,Cloudy
1355,60,Thursday,7,Intersection-Related,Daylight,Dry,"Two-Way, Not Divided",20 - 25  MPH,Clear
1356,4,Thursday,18,Non-Intersection,Daylight,Dry,"Two-Way, Not Divided",30 - 35  MPH,Clear
1357,67,Thursday,13,Intersection,Daylight,Dry,"Two-Way, Divided, Unprotected Median",40 - 45  MPH,Clear
1358,41,Monday,14,Non-Intersection,Daylight,Dry,"Two-Way, Divided, Positive Median Barrier",40 - 45  MPH,Clear
1359,30,Tuesday,19,Intersection,Daylight,Dry,"Two-Way, Divided, Unprotected Median",30 - 35  MPH,Clear
1360,54,Tuesday,16,Non-Intersection,Daylight,Dry,"Two-Way, Divided, Unprotected Median",30 - 35  MPH,Clear
1361,50,Thursday,12,Non-Intersection,Daylight,Dry,"Two-Way, Divided, Positive Median Barrier",Unknown,"Fog, Smog, Smoke"
1362,20,Saturday,9,Non-Intersection,Daylight,Dry,"Two-Way, Not Divided",20 - 25  MPH,Cloudy
1363,9,Tuesday,16,Intersection,Daylight,Dry,"Two-Way, Not Divided",Unknown,Clear
1364,40,Wednesday,17,Intersection,Daylight,Dry,"Two-Way, Divided, Positive Median Barrier",20 - 25  MPH,Clear
1365,24,Sunday,20,Non-Roadway,Dark - Lighted Roadway,Wet,"Two-Way, Not Divided",5 - 15 MPH,Rain
1366,8,Sunday,19,Intersection,Daylight,Dry,"Two-Way, Not Divided",20 - 25  MPH,Clear
1367,18,Monday,19,Intersection,Daylight,Dry,"Two-Way, Not Divided",30 - 35  MPH,Clear
1368,48,Saturday,12,Intersection,Daylight,Dry,"Two-Way, Not Divided",30 - 35  MPH,Clear
1369,6,Sunday,21,Non-Intersection,Daylight,Dry,"Two-Way, Not Divided",30 - 35  MPH,Clear
1370,13,Thursday,21,Non-Intersection,Dark - Lighted Roadway,Dry,"Two-Way, Not Divided",30 - 35  MPH,Cloudy
1371,56,Wednesday,9,Non-Intersection,Daylight,Wet,"Two-Way, Not Divided",20 - 25  MPH,Rain
1372,27,Wednesday,16,Intersection,Daylight,Dry,"One-Way, Not Divided",30 - 35  MPH,Cloudy
1373,20,Thursday,15,Intersection,Daylight,Dry,"Two-Way, Not Divided",40 - 45  MPH,Clear
1374,16,Thursday,20,Intersection,Daylight,Dry,"Two-Way, Not Divided",40 - 45  MPH,Clear
1375,51,Thursday,15,Intersection,Daylight,Dry,"Two-Way, Not Divided",30 - 35  MPH,Clear
1376,16,Friday,15,Intersection,Daylight,Dry,"Two-Way, Divided, Unprotected Median",30 - 35  MPH,Clear
1377,29,Friday,14,Intersection,Daylight,Dry,"Two-Way, Not Divided",30 - 35  MPH,Clear
1378,16,Thursday,18,Non-Intersection,Daylight,Dry,"Two-Way, Divided, Positive Median Barrier",30 - 35  MPH,Clear
1379,19,Friday,17,Intersection,Daylight,Dry,"Two-Way, Not Divided",Unknown,Clear
1380,24,Friday,15,Intersection,Daylight,Dry,"Two-Way, Divided, Unprotected Median",30 - 35  MPH,Clear
1381,30,Friday,7,Non-Intersection,Daylight,Dry,"Two-Way, Not Divided",30 - 35  MPH,Clear
1382,50,Saturday,9,Non-Intersection,Daylight,Dry,"Two-Way, Not Divided",30 - 35  MPH,Clear
1383,45,Saturday,14,Non-Intersection,Daylight,Dry,"Two-Way, Not Divided",40 - 45  MPH,Clear
1384,43,Friday,18,Intersection,Daylight,Dry,"Two-Way, Not Divided",30 - 35  MPH,Clear
1385,48,Monday,9,Non-Roadway,Daylight,Dry,"One-Way, Not Divided",5 - 15 MPH,Clear
1386,28,Saturday,15,Non-Intersection,Daylight,Dry,"Two-Way, Divided, Unprotected Median",30 - 35  MPH,Clear
1387,50,Sunday,10,Non-Intersection,Daylight,Dry,"Two-Way, Not Divided",50 - 55  MPH,Clear
1388,57,Tuesday,10,Non-Roadway,Daylight,Dry,"Two-Way, Not Divided",Unknown,Clear
1389,12,Saturday,15,Non-Intersection,Daylight,Dry,"Two-Way, Not Divided",50 - 55  MPH,Clear
1390,9,Sunday,18,Intersection,Daylight,Dry,"Two-Way, Not Divided",30 - 35  MPH,Clear
1391,20,Thursday,23,Intersection,Dark - Lighted Roadway,Dry,"Two-Way, Divided, Unprotected Median",30 - 35  MPH,Clear
1392,19,Thursday,12,Intersection,Daylight,Dry,"Two-Way, Not Divided",Unknown,Clear
1393,59,Tuesday,8,Non-Intersection,Daylight,Dry,"Two-Way, Not Divided",50 - 55  MPH,Clear
1394,42,Sunday,20,Intersection,Dark - Lighted Roadway,Wet,"Two-Way, Not Divided",20 - 25  MPH,Rain
1395,17,Tuesday,11,Non-Intersection,Daylight,"Sand, Mud, Dirt, Gravel","Two-Way, Not Divided",50 - 55  MPH,Clear
1396,45,Sunday,18,Non-Intersection,Dark - Roadway Not Lighted,Dry,"Two-Way, Divided, Unprotected Median",40 - 45  MPH,Clear
1397,12,Monday,17,Intersection,Daylight,Dry,"Two-Way, Not Divided",20 - 25  MPH,Cloudy
1398,42,Wednesday,6,Non-Intersection,Daylight,Dry,"Two-Way, Not Divided",30 - 35  MPH,Clear
1399,67,Thursday,10,Intersection,Daylight,Dry,"Two-Way, Divided, Unprotected Median",40 - 45  MPH,Clear
1400,16,Wednesday,7,Non-Intersection,Daylight,Dry,"Two-Way, Not Divided",20 - 25  MPH,Clear
1401,55,Wednesday,12,Intersection,Daylight,Dry,"Two-Way, Not Divided",20 - 25  MPH,Clear
1402,60,Friday,17,Intersection,Daylight,Dry,"Two-Way, Not Divided",Unknown,Clear
1403,59,Thursday,16,Intersection,Daylight,Dry,"Two-Way, Not Divided",30 - 35  MPH,Clear
1404,9,Wednesday,14,Non-Intersection,Daylight,Dry,"Two-Way, Not Divided",50 - 55  MPH,Clear
1405,13,Wednesday,20,Non-Intersection,Daylight,Dry,"Two-Way, Not Divided",30 - 35  MPH,Clear
1406,4,Wednesday,19,Non-Intersection,Daylight,Dry,"Two-Way, Not Divided",30 - 35  MPH,Clear
1407,36,Tuesday,20,Intersection,Daylight,Dry,"Two-Way, Not Divided",30 - 35  MPH,Clear
1408,47,Tuesday,8,Non-Intersection,Daylight,Dry,"One-Way, Not Divided",20 - 25  MPH,Clear
1409,32,Tuesday,15,Intersection,Daylight,Dry,"Two-Way, Not Divided",20 - 25  MPH,Clear
1410,16,Wednesday,19,Non-Intersection,Daylight,Dry,"Two-Way, Not Divided",40 - 45  MPH,Clear
1411,49,Thursday,20,Intersection,Dusk,Dry,"Two-Way, Divided, Unprotected Median",30 - 35  MPH,Cloudy
1412,17,Wednesday,20,Non-Roadway,Daylight,Dry,"Two-Way, Not Divided",20 - 25  MPH,Clear
1413,8,Saturday,17,Non-Intersection,Daylight,Dry,"Two-Way, Not Divided",20 - 25  MPH,Clear
1414,13,Wednesday,16,Non-Intersection,Daylight,Dry,"Two-Way, Not Divided",20 - 25  MPH,Clear
1415,30,Friday,9,Intersection,Daylight,Dry,"Two-Way, Not Divided",30 - 35  MPH,Cloudy
1416,13,Monday,9,Intersection,Daylight,Dry,"Two-Way, Not Divided",20 - 25  MPH,Clear
1417,55,Saturday,16,Non-Roadway,Daylight,Dry,"Two-Way, Not Divided",5 - 15 MPH,Clear
1418,62,Saturday,13,Non-Intersection,Daylight,Dry,"Two-Way, Not Divided",20 - 25  MPH,Clear
1419,14,Friday,15,Intersection,Daylight,Dry,"Two-Way, Not Divided",30 - 35  MPH,Clear
1420,20,Wednesday,16,Intersection,Daylight,Dry,"Two-Way, Not Divided",30 - 35  MPH,Clear
1421,16,Thursday,7,Intersection,Daylight,Dry,"Two-Way, Not Divided",20 - 25  MPH,Clear
1422,7,Saturday,17,Intersection,Daylight,Dry,"Two-Way, Not Divided",30 - 35  MPH,Clear
1423,24,Tuesday,15,Non-Intersection,Daylight,Dry,"Two-Way, Not Divided",30 - 35  MPH,Clear
1424,22,Tuesday,21,Non-Roadway,Dark - Lighted Roadway,Dry,"Two-Way, Not Divided",5 - 15 MPH,Clear
1425,21,Saturday,8,Intersection,Daylight,Dry,"Two-Way, Not Divided",20 - 25  MPH,"Fog, Smog, Smoke"
1426,23,Thursday,21,Non-Roadway,Dark - Lighted Roadway,Dry,"Two-Way, Not Divided",30 - 35  MPH,Clear
1427,19,Wednesday,19,Non-Intersection,Daylight,Dry,"Two-Way, Not Divided",30 - 35  MPH,Clear
1428,59,Sunday,11,Non-Intersection,Daylight,Dry,"Two-Way, Divided, Positive Median Barrier",40 - 45  MPH,Clear
1429,33,Tuesday,15,Non-Intersection,Daylight,Dry,"Two-Way, Not Divided",30 - 35  MPH,Clear
1430,46,Tuesday,17,Non-Intersection,Daylight,Dry,"Two-Way, Not Divided",5 - 15 MPH,Clear
1431,25,Monday,18,Intersection,Daylight,Dry,"Two-Way, Not Divided",20 - 25  MPH,Clear
1432,17,Friday,20,Intersection,Daylight,Dry,"Two-Way, Not Divided",30 - 35  MPH,Clear
1433,30,Sunday,14,Non-Intersection,Daylight,Dry,"Two-Way, Not Divided",50 - 55  MPH,Clear
1434,20,Sunday,21,Non-Intersection,Dark - Lighted Roadway,Dry,"Two-Way, Not Divided",30 - 35  MPH,Clear
1435,58,Monday,8,Non-Intersection,Daylight,Dry,"Two-Way, Not Divided",50 - 55  MPH,Clear
1436,19,Monday,21,Non-Intersection,Dark - Lighted Roadway,Dry,"Two-Way, Divided, Unprotected Median",40 - 45  MPH,Clear
1437,55,Saturday,15,Intersection,Daylight,Dry,"Two-Way, Divided, Unprotected Median",40 - 45  MPH,Clear
1438,56,Wednesday,5,Non-Intersection,Dark - Lighted Roadway,Dry,Unknown,40 - 45  MPH,Clear
1439,56,Friday,14,Non-Intersection,Daylight,Dry,"Two-Way, Not Divided",40 - 45  MPH,Clear
1440,17,Monday,16,Intersection,Daylight,Dry,"Two-Way, Not Divided",30 - 35  MPH,Clear
1441,51,Thursday,18,Non-Intersection,Daylight,Dry,"Two-Way, Not Divided",40 - 45  MPH,Clear
1442,8,Friday,15,Non-Roadway,Daylight,Dry,"Two-Way, Not Divided",Unknown,Clear
1443,54,Monday,20,Intersection,Dusk,Dry,"Two-Way, Not Divided",30 - 35  MPH,Clear
1444,18,Thursday,17,Non-Roadway,Daylight,Dry,"Two-Way, Not Divided",5 - 15 MPH,Clear
1445,10,Tuesday,7,Intersection,Daylight,Dry,"Two-Way, Not Divided",30 - 35  MPH,Clear
1446,47,Monday,11,Intersection,Daylight,Dry,"Two-Way, Not Divided",30 - 35  MPH,Clear
1447,68,Wednesday,11,Non-Intersection,Daylight,Dry,"Two-Way, Not Divided",30 - 35  MPH,Clear
1448,8,Tuesday,13,Intersection,Daylight,Dry,"Two-Way, Divided, Unprotected Median",30 - 35  MPH,Clear
1449,21,Friday,12,Non-Intersection,Daylight,Dry,"Two-Way, Not Divided",30 - 35  MPH,Clear
1450,23,Monday,13,Intersection,Daylight,Dry,"Two-Way, Not Divided",20 - 25  MPH,Clear
1451,15,Sunday,16,Intersection,Daylight,Dry,"Two-Way, Divided, Unprotected Median",30 - 35  MPH,Clear
1452,9,Tuesday,20,Intersection,Daylight,Dry,"Two-Way, Not Divided",30 - 35  MPH,Cloudy
1453,999,Saturday,13,Intersection,Daylight,Dry,"Two-Way, Not Divided",20 - 25  MPH,Clear
1454,40,Sunday,10,Non-Intersection,Daylight,Dry,"Two-Way, Not Divided",40 - 45  MPH,Clear
1455,55,Monday,14,Intersection,Daylight,Dry,"Two-Way, Not Divided",30 - 35  MPH,Clear
1456,18,Saturday,23,Non-Intersection,Dark - Roadway Not Lighted,Dry,"Two-Way, Divided, Positive Median Barrier",50 - 55  MPH,Clear
1457,18,Tuesday,19,Intersection,Daylight,Dry,"Two-Way, Not Divided",40 - 45  MPH,Clear
1458,46,Tuesday,16,Intersection,Daylight,Dry,"Two-Way, Not Divided",30 - 35  MPH,Clear
1459,18,Wednesday,12,Non-Intersection,Daylight,Dry,"Two-Way, Not Divided",40 - 45  MPH,Clear
1460,50,Sunday,22,Intersection,Dark - Lighted Roadway,Wet,"Two-Way, Divided, Positive Median Barrier",40 - 45  MPH,Rain
1461,12,Thursday,11,Non-Intersection,Daylight,Dry,"Two-Way, Not Divided",40 - 45  MPH,Clear
1462,7,Thursday,17,Non-Intersection,Daylight,Dry,"Two-Way, Not Divided",20 - 25  MPH,Cloudy
1463,51,Friday,7,Intersection,Daylight,Dry,"Two-Way, Divided, Unprotected Median",30 - 35  MPH,Clear
1464,32,Saturday,16,Non-Intersection,Daylight,Dry,"Two-Way, Not Divided",50 - 55  MPH,Clear
1465,12,Saturday,16,Non-Intersection,Daylight,Dry,"Two-Way, Not Divided",30 - 35  MPH,Clear
1466,28,Monday,7,Non-Intersection,Daylight,Dry,"Two-Way, Divided, Unprotected Median",30 - 35  MPH,Cloudy
1467,23,Sunday,14,Non-Intersection,Daylight,Dry,"Two-Way, Not Divided",Unknown,Cloudy
1468,66,Monday,10,Intersection,Daylight,Dry,"Two-Way, Divided, Unprotected Median",50 - 55  MPH,Clear
1469,13,Monday,14,Intersection,Daylight,Dry,"Two-Way, Not Divided",30 - 35  MPH,Clear
1470,45,Monday,11,Intersection,Daylight,Dry,"Two-Way, Divided, Unprotected Median",30 - 35  MPH,Clear
1471,41,Monday,18,Non-Intersection,Daylight,Dry,"Two-Way, Not Divided",30 - 35  MPH,Clear
1472,10,Tuesday,18,Intersection,Daylight,Dry,"Two-Way, Not Divided",20 - 25  MPH,Clear
1473,42,Wednesday,2,Non-Roadway,Dark - Unknown Lighting,Wet,Unknown,Unknown,Clear
1474,47,Saturday,17,Intersection,Daylight,Dry,"Two-Way, Not Divided",30 - 35  MPH,Clear
1475,59,Monday,21,Non-Intersection,Dark - Roadway Not Lighted,Dry,"Two-Way, Not Divided",40 - 45  MPH,Clear
1476,50,Tuesday,12,Non-Intersection,Daylight,Dry,"Two-Way, Not Divided",40 - 45  MPH,Clear
1477,18,Saturday,14,Non-Intersection,Daylight,Dry,"Two-Way, Not Divided",40 - 45  MPH,Clear
1478,46,Friday,8,Intersection,Daylight,Dry,"Two-Way, Not Divided",30 - 35  MPH,Clear
1479,16,Thursday,13,Non-Roadway,Daylight,Dry,"Two-Way, Not Divided",30 - 35  MPH,Clear
1480,55,Wednesday,15,Non-Intersection,Daylight,Dry,"Two-Way, Not Divided",30 - 35  MPH,Clear
1481,16,Thursday,17,Intersection-Related,Daylight,Dry,"Two-Way, Not Divided",30 - 35  MPH,Cloudy
1482,53,Thursday,20,Intersection,Dark - Lighted Roadway,Dry,"Two-Way, Divided, Unprotected Median",30 - 35  MPH,Clear
1483,9,Thursday,14,Non-Intersection,Daylight,Dry,"Two-Way, Not Divided",30 - 35  MPH,Clear
1484,45,Thursday,15,Intersection,Daylight,Dry,"Two-Way, Not Divided",40 - 45  MPH,Clear
1485,56,Friday,6,Non-Intersection,Daylight,Dry,"Two-Way, Not Divided",30 - 35  MPH,Clear
1486,22,Saturday,12,Intersection,Daylight,Dry,"Two-Way, Not Divided",20 - 25  MPH,Cloudy
1487,23,Saturday,15,Non-Intersection,Daylight,Dry,"Two-Way, Not Divided",5 - 15 MPH,Clear
1488,17,Saturday,15,Non-Intersection,Daylight,Dry,"Two-Way, Not Divided",40 - 45  MPH,Clear
1489,47,Friday,13,Non-Intersection,Daylight,Dry,"Two-Way, Not Divided",40 - 45  MPH,Clear
1490,35,Friday,12,Non-Intersection,Daylight,Dry,"Two-Way, Not Divided",20 - 25  MPH,Clear
1491,53,Saturday,20,Non-Roadway,Daylight,Wet,"One-Way, Not Divided",Unknown,Rain
1492,7,Saturday,19,Intersection,Dawn,Dry,"Two-Way, Not Divided",30 - 35  MPH,Clear
1493,49,Monday,9,Non-Intersection,Daylight,Dry,"Two-Way, Not Divided",50 - 55  MPH,Cloudy
1494,25,Monday,0,Intersection,Daylight,Dry,"Two-Way, Not Divided",40 - 45  MPH,Clear
1495,13,Monday,21,Non-Roadway,Dusk,Dry,"Two-Way, Not Divided",Unknown,Clear
1496,17,Monday,18,Non-Roadway,Daylight,Dry,"Two-Way, Not Divided",Unknown,Clear
1497,34,Tuesday,23,Non-Intersection,Dark - Roadway Not Lighted,Wet,"Two-Way, Not Divided",40 - 45  MPH,Cloudy
1498,27,Monday,22,Intersection,Dark - Lighted Roadway,Dry,"Two-Way, Divided, Unprotected Median",30 - 35  MPH,Clear
1499,32,Tuesday,21,Intersection,Dark - Lighted Roadway,Dry,"Two-Way, Not Divided",30 - 35  MPH,Clear
1500,15,Wednesday,22,Non-Intersection,Dark - Roadway Not Lighted,Dry,"Two-Way, Not Divided",50 - 55  MPH,Clear
1501,15,Sunday,20,Non-Intersection,Dark - Roadway Not Lighted,Dry,"Two-Way, Not Divided",40 - 45  MPH,Clear
